Tract,Raw,Tot,Ind,meanWt
189800,5,6,3,1.57
189902,18,22,11,
189903,0,0,0,
189904,28,36,15,
189905,16,19,10,
190100,47,54,36,
190201,33,38,25,
190202,20,22,16,
190301,75,106,21,
190510,42,53,23,
190520,12,17,4,
190700,93,104,73,
190801,70,90,36,
190802,69,91,30,
190901,27,39,6,
190902,19,28,2,
191000,131,173,58,
191110,21,27,11,
191120,49,65,22,
191201,12,16,4,
191203,19,24,9,
191204,1,2,0,
191301,16,21,6,
191302,25,33,11,
191410,15,20,5,
191420,31,43,9,
191500,4,4,4,
191610,29,42,6,
191620,11,17,1,
191710,8,11,3,
191720,18,25,6,
191810,32,43,12,
191820,12,16,5,
191901,42,59,13,
192510,9,14,1,
192520,6,8,3,
192610,18,26,3,
192620,23,28,14,
192700,180,256,48,