Tract,Total Pop,Persons,C,V,R,T,M,TotCts,CheckTot,,,,,
1810.00,25,3,0,0,4.3,4.4,13.4,17.0,0.1,1.60267,1.75942,1.4109,1.47461,1.68008
1813.00,25.3,7,0,5.3,8.5,4.4,0,19.0,-0.1,0.6239587688,0.5683691216,0.7087674534,0.6781454079,0.5952097519
1814.00,26.7,9,1.5,8.9,5.7,0,1.7,20.0,0.1,,,,,
1815.00,5.3,1,0,0,4.3,0,0,4.0,0,,,,,
1816.00,8.6,2,3,3.5,0,0,0,5.9,-0.1,,,,,
1831.01,31,10,3,7.1,1.4,4.4,5,22.9,-0.1,,,,,
1831.03,22.2,2,3,7.1,7.1,3,0,15.0,0,,,,,
1831.04,3.4,2,0,0,1.4,0,0,3.0,0,,,,,
1832.20,1,1,0,0,0,0,0,1.0,0,,,,,
1832.21,1.5,0,1.5,0,0,0,0,0.9,0,,,,,
1832.22,5,0,0,3.5,1.4,0,0,3.0,-0.1,,,,,
1833.00,6.1,0,1.5,1.8,2.8,0,0,3.9,0,,,,,
1834.01,7.7,1,1.5,3.5,0,0,1.7,4.9,0,,,,,
1834.02,9.2,0,0,3.5,5.7,0,0,6.0,0,,,,,
1835.10,4.4,0,3,0,1.4,0,0,2.9,0,,,,,
1835.20,11.5,0,4.5,5.3,0,0,1.7,6.8,0,,,,,
1836.10,30.3,12,3,12.4,1.4,1.5,0,22.9,0,,,,,
1836.20,27.7,8,4.5,3.5,5.7,5.9,0,20.8,-0.1,,,,,
1837.01,30.4,2,1.5,14.2,2.8,1.5,8.4,19.0,0,,,,,
1838.10,14.8,5,1.5,3.5,1.4,0,3.4,10.9,0,,,,,
1838.20,14.5,8,0,3.5,0,0,0,10.0,-3,weird -- components don't add up on LAHSA site,,,,
1861.00,7.8,0,0,3.5,4.3,0,0,5.0,0,ER-side only?,,,,
1862.01,5.8,4,0,1.8,0,0,0,5.0,0,,,,,
1862.03,0,0,0,0,0,0,0,0.0,0,HP-side only,,,,